Reginald Androcles Fileas NeoWilliams ::: (English) king's advisor, (Greek) man covered with glory, (Greek) he who loves deeply, (American) new Williams
Maro Bonito Wright Darwin ::: (Japanese) myself, (Latin) worthy, (English) maker, (English) dear friend
Maro Phoenix Hodgson Blackburn ::: (Japanese) myself, (English) phoenix, (English) son of Roger, (Scottish) black brook
Maro Phoenix Gaylord Darwin ::: (Japanese) myself, (English) phoenix, (French) merry lord; jailer, (English) dear friend
Maro Bonito NeoWilliams Wright ::: (Japanese) myself, (Latin) worthy, (American) new Williams, (English) maker
Maro Androcles Darwin Hodgson ::: (Japanese) myself, (Greek) man covered with glory, (English) dear friend, (English) son of Roger
Reginald Renatus Gaylord Wright ::: (English) king's advisor, (Italian) reborn, (French) merry lord; jailer, (English) maker
Maro Felix Waterfall Blackburn ::: (Japanese) myself, (Latin) fortunate; happy, (American) waterfall, (Scottish) black brook
Maro Emeterio Renatus Gaylord ::: (Japanese) myself, (Greek) he who deserves affection, (Italian) reborn, (French) merry lord; jailer
Zoyamor Yorick Percival Waterfall ::: (Greek/Latin/me) lover of all living beings, (Scandinavian) a form of George, (French) pierce the valley, (American) waterfall
Reginald Herodes Zoyamor Blackburn ::: (English) king's advisor, (Greek) the fire dragon, (Greek/Latin/me) lover of all living beings, (Scottish) black brook
Zoyamor Bonito Fileas NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Latin) worthy, (Greek) he who loves deeply, (American) new Williams
Maro Emeterio Androcles Blackburn ::: (Japanese) myself, (Greek) he who deserves affection, (Greek) man covered with glory, (Scottish) black brook
Zoyamor Quigley Herodes NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Irish) maternal side, (Greek) the fire dragon, (American) new Williams
Reginald Waterfall Blackburn Hodgson ::: (English) king's advisor, (American) waterfall, (Scottish) black brook, (English) son of Roger
Zoyamor Yorick Renatus Gaylord ::: (Greek/Latin/me) lover of all living beings, (Scandinavian) a form of George, (Italian) reborn, (French) merry lord; jailer
Zoyamor Bonito Gaylord NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Latin) worthy, (French) merry lord; jailer, (American) new Williams
Maro Herodes Phoenix Hodgson ::: (Japanese) myself, (Greek) the fire dragon, (English) phoenix, (English) son of Roger
Zoyamor Waterfall Hodgson Darwin ::: (Greek/Latin/me) lover of all living beings, (American) waterfall, (English) son of Roger, (English) dear friend
Reginald Zoyamor Fileas Darwin ::: (English) king's advisor, (Greek/Latin/me) lover of all living beings, (Greek) he who loves deeply, (English) dear friend
Maro Renatus Herodes Zoyamor ::: (Japanese) myself, (Italian) reborn, (Greek) the fire dragon, (Greek/Latin/me) lover of all living beings
Reginald Fileas Gaylord NeoWilliams ::: (English) king's advisor, (Greek) he who loves deeply, (French) merry lord; jailer, (American) new Williams
Maro Phoenix Wright NeoWilliams ::: (Japanese) myself, (English) phoenix, (English) maker, (American) new Williams
Reginald Phoenix Emeterio NeoWilliams ::: (English) king's advisor, (English) phoenix, (Greek) he who deserves affection, (American) new Williams
Zoyamor Fileas Bonito NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Greek) he who loves deeply, (Latin) worthy, (American) new Williams
Reginald Quigley Yorick Wright ::: (English) king's advisor, (Irish) maternal side, (Scandinavian) a form of George, (English) maker
Maro Herodes Quigley Wright ::: (Japanese) myself, (Greek) the fire dragon, (Irish) maternal side, (English) maker
Reginald Percival Androcles Gaylord ::: (English) king's advisor, (French) pierce the valley, (Greek) man covered with glory, (French) merry lord; jailer
Maro Bonito Reginald Wright ::: (Japanese) myself, (Latin) worthy, (English) king's advisor, (English) maker
Zoyamor Maro Percival Darwin ::: (Greek/Latin/me) lover of all living beings, (Japanese) myself, (French) pierce the valley, (English) dear friend
Zoyamor Maro Philander Waterfall ::: (Greek/Latin/me) lover of all living beings, (Japanese) myself, (Greek) lover of mankind, (American) waterfall
Maro Phoenix Reginald Gaylord ::: (Japanese) myself, (English) phoenix, (English) king's advisor, (French) merry lord; jailer
Reginald Felix Emeterio Wright ::: (English) king's advisor, (Latin) fortunate; happy, (Greek) he who deserves affection, (English) maker
Reginald Percival Gaylord Darwin ::: (English) king's advisor, (French) pierce the valley, (French) merry lord; jailer, (English) dear friend
Zoyamor Reginald Bonito NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (English) king's advisor, (Latin) worthy, (American) new Williams
Maro Bonito Androcles Darwin ::: (Japanese) myself, (Latin) worthy, (Greek) man covered with glory, (English) dear friend
Reginald Phoenix Zoyamor Hodgson ::: (English) king's advisor, (English) phoenix, (Greek/Latin/me) lover of all living beings, (English) son of Roger
Maro Felix Zoyamor Wright ::: (Japanese) myself, (Latin) fortunate; happy, (Greek/Latin/me) lover of all living beings, (English) maker
Reginald Emeterio Hodgson Gaylord ::: (English) king's advisor, (Greek) he who deserves affection, (English) son of Roger, (French) merry lord; jailer
Zoyamor Felix Herodes NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Latin) fortunate; happy, (Greek) the fire dragon, (American) new Williams
Zoyamor Quigley Darwin Hodgson ::: (Greek/Latin/me) lover of all living beings, (Irish) maternal side, (English) dear friend, (English) son of Roger
Reginald Waterfall Wright Gaylord ::: (English) king's advisor, (American) waterfall, (English) maker, (French) merry lord; jailer
Reginald Phoenix NeoWilliams ::: (English) king's advisor, (English) phoenix, (American) new Williams
Maro Reginald Renatus Hodgson ::: (Japanese) myself, (English) king's advisor, (Italian) reborn, (English) son of Roger
Maro Percival Blackburn NeoWilliams ::: (Japanese) myself, (French) pierce the valley, (Scottish) black brook, (American) new Williams
Zoyamor Androcles Hodgson Wright ::: (Greek/Latin/me) lover of all living beings, (Greek) man covered with glory, (English) son of Roger, (English) maker
Maro Emeterio Philander Hodgson ::: (Japanese) myself, (Greek) he who deserves affection, (Greek) lover of mankind, (English) son of Roger
Reginald Phoenix Androcles Darwin ::: (English) king's advisor, (English) phoenix, (Greek) man covered with glory, (English) dear friend
Reginald Phoenix Waterfall ::: (English) king's advisor, (English) phoenix, (American) waterfall
Zoyamor Phoenix Maro Waterfall ::: (Greek/Latin/me) lover of all living beings, (English) phoenix, (Japanese) myself, (American) waterfall
Maro Phoenix Androcles NeoWilliams ::: (Japanese) myself, (English) phoenix, (Greek) man covered with glory, (American) new Williams
Zoyamor Yorick Darwin Gaylord ::: (Greek/Latin/me) lover of all living beings, (Scandinavian) a form of George, (English) dear friend, (French) merry lord; jailer
Zoyamor Percival Wright NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (French) pierce the valley, (English) maker, (American) new Williams
Maro Waterfall Philander Hodgson ::: (Japanese) myself, (American) waterfall, (Greek) lover of mankind, (English) son of Roger
Reginald Maro Bonito NeoWilliams ::: (English) king's advisor, (Japanese) myself, (Latin) worthy, (American) new Williams
Reginald Felix Androcles Zoyamor ::: (English) king's advisor, (Latin) fortunate; happy, (Greek) man covered with glory, (Greek/Latin/me) lover of all living beings
Maro Percival Renatus Waterfall ::: (Japanese) myself, (French) pierce the valley, (Italian) reborn, (American) waterfall
Maro Reginald Wright Blackburn ::: (Japanese) myself, (English) king's advisor, (English) maker, (Scottish) black brook
Maro Bonito Androcles Waterfall ::: (Japanese) myself, (Latin) worthy, (Greek) man covered with glory, (American) waterfall
Zoyamor Quigley Androcles Wright ::: (Greek/Latin/me) lover of all living beings, (Irish) maternal side, (Greek) man covered with glory, (English) maker
Reginald Phoenix Percival Wright ::: (English) king's advisor, (English) phoenix, (French) pierce the valley, (English) maker
Zoyamor Phoenix Bonito Darwin ::: (Greek/Latin/me) lover of all living beings, (English) phoenix, (Latin) worthy, (English) dear friend
Maro Androcles Fileas Gaylord ::: (Japanese) myself, (Greek) man covered with glory, (Greek) he who loves deeply, (French) merry lord; jailer
Reginald Renatus Maro Hodgson ::: (English) king's advisor, (Italian) reborn, (Japanese) myself, (English) son of Roger
Maro Felix Wright Hodgson ::: (Japanese) myself, (Latin) fortunate; happy, (English) maker, (English) son of Roger
Maro Renatus Phoenix Darwin ::: (Japanese) myself, (Italian) reborn, (English) phoenix, (English) dear friend
Zoyamor Renatus Waterfall Wright ::: (Greek/Latin/me) lover of all living beings, (Italian) reborn, (American) waterfall, (English) maker
Zoyamor Fileas Reginald Hodgson ::: (Greek/Latin/me) lover of all living beings, (Greek) he who loves deeply, (English) king's advisor, (English) son of Roger
Maro Waterfall Herodes Darwin ::: (Japanese) myself, (American) waterfall, (Greek) the fire dragon, (English) dear friend
Reginald Androcles Renatus Blackburn ::: (English) king's advisor, (Greek) man covered with glory, (Italian) reborn, (Scottish) black brook
Maro Philander Herodes Blackburn ::: (Japanese) myself, (Greek) lover of mankind, (Greek) the fire dragon, (Scottish) black brook
Maro Fileas Hodgson Wright ::: (Japanese) myself, (Greek) he who loves deeply, (English) son of Roger, (English) maker
Reginald Zoyamor Wright Blackburn ::: (English) king's advisor, (Greek/Latin/me) lover of all living beings, (English) maker, (Scottish) black brook
Zoyamor Bonito Androcles Waterfall ::: (Greek/Latin/me) lover of all living beings, (Latin) worthy, (Greek) man covered with glory, (American) waterfall
Reginald Renatus Androcles Blackburn ::: (English) king's advisor, (Italian) reborn, (Greek) man covered with glory, (Scottish) black brook
Zoyamor Fileas Percival Blackburn ::: (Greek/Latin/me) lover of all living beings, (Greek) he who loves deeply, (French) pierce the valley, (Scottish) black brook
Maro Androcles Felix Hodgson ::: (Japanese) myself, (Greek) man covered with glory, (Latin) fortunate; happy, (English) son of Roger
Maro Philander Phoenix Hodgson ::: (Japanese) myself, (Greek) lover of mankind, (English) phoenix, (English) son of Roger
Reginald Quigley Philander Gaylord ::: (English) king's advisor, (Irish) maternal side, (Greek) lover of mankind, (French) merry lord; jailer
Reginald Herodes Bonito Darwin ::: (English) king's advisor, (Greek) the fire dragon, (Latin) worthy, (English) dear friend
Zoyamor Fileas Emeterio NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Greek) he who loves deeply, (Greek) he who deserves affection, (American) new Williams
Reginald Maro Quigley Gaylord ::: (English) king's advisor, (Japanese) myself, (Irish) maternal side, (French) merry lord; jailer
Maro Waterfall Quigley Zoyamor ::: (Japanese) myself, (American) waterfall, (Irish) maternal side, (Greek/Latin/me) lover of all living beings
Maro Yorick Wright Blackburn ::: (Japanese) myself, (Scandinavian) a form of George, (English) maker, (Scottish) black brook
Zoyamor Percival Herodes Waterfall ::: (Greek/Latin/me) lover of all living beings, (French) pierce the valley, (Greek) the fire dragon, (American) waterfall
Zoyamor Androcles Hodgson Darwin ::: (Greek/Latin/me) lover of all living beings, (Greek) man covered with glory, (English) son of Roger, (English) dear friend
Zoyamor Phoenix Philander Hodgson ::: (Greek/Latin/me) lover of all living beings, (English) phoenix, (Greek) lover of mankind, (English) son of Roger
Reginald Phoenix NeoWilliams Darwin ::: (English) king's advisor, (English) phoenix, (American) new Williams, (English) dear friend
Zoyamor Phoenix Percival Waterfall ::: (Greek/Latin/me) lover of all living beings, (English) phoenix, (French) pierce the valley, (American) waterfall
Zoyamor Quigley Percival Waterfall ::: (Greek/Latin/me) lover of all living beings, (Irish) maternal side, (French) pierce the valley, (American) waterfall
Reginald Emeterio Wright Blackburn ::: (English) king's advisor, (Greek) he who deserves affection, (English) maker, (Scottish) black brook
Maro Emeterio Wright Gaylord ::: (Japanese) myself, (Greek) he who deserves affection, (English) maker, (French) merry lord; jailer
Reginald Androcles Felix NeoWilliams ::: (English) king's advisor, (Greek) man covered with glory, (Latin) fortunate; happy, (American) new Williams
Maro Herodes Renatus Blackburn ::: (Japanese) myself, (Greek) the fire dragon, (Italian) reborn, (Scottish) black brook
Reginald Yorick Phoenix Wright ::: (English) king's advisor, (Scandinavian) a form of George, (English) phoenix, (English) maker
Reginald Androcles Herodes Hodgson ::: (English) king's advisor, (Greek) man covered with glory, (Greek) the fire dragon, (English) son of Roger
Reginald Quigley Emeterio Gaylord ::: (English) king's advisor, (Irish) maternal side, (Greek) he who deserves affection, (French) merry lord; jailer
Zoyamor Percival Phoenix Hodgson ::: (Greek/Latin/me) lover of all living beings, (French) pierce the valley, (English) phoenix, (English) son of Roger
Zoyamor Androcles Darwin Blackburn ::: (Greek/Latin/me) lover of all living beings, (Greek) man covered with glory, (English) dear friend, (Scottish) black brook
Zoyamor Emeterio Percival Waterfall ::: (Greek/Latin/me) lover of all living beings, (Greek) he who deserves affection, (French) pierce the valley, (American) waterfall
Zoyamor Androcles Blackburn ::: (Greek/Latin/me) lover of all living beings, (Greek) man covered with glory, (Scottish) black brook
Maro Quigley Gaylord Blackburn ::: (Japanese) myself, (Irish) maternal side, (French) merry lord; jailer, (Scottish) black brook
Maro Bonito Quigley NeoWilliams ::: (Japanese) myself, (Latin) worthy, (Irish) maternal side, (American) new Williams
Zoyamor Reginald Hodgson Wright ::: (Greek/Latin/me) lover of all living beings, (English) king's advisor, (English) son of Roger, (English) maker
Reginald Percival Gaylord ::: (English) king's advisor, (French) pierce the valley, (French) merry lord; jailer
Reginald Emeterio Bonito Waterfall ::: (English) king's advisor, (Greek) he who deserves affection, (Latin) worthy, (American) waterfall
Reginald Androcles Emeterio Zoyamor ::: (English) king's advisor, (Greek) man covered with glory, (Greek) he who deserves affection, (Greek/Latin/me) lover of all living beings
Reginald Yorick NeoWilliams Gaylord ::: (English) king's advisor, (Scandinavian) a form of George, (American) new Williams, (French) merry lord; jailer
Zoyamor Bonito Philander Blackburn ::: (Greek/Latin/me) lover of all living beings, (Latin) worthy, (Greek) lover of mankind, (Scottish) black brook
Maro Herodes Fileas Darwin ::: (Japanese) myself, (Greek) the fire dragon, (Greek) he who loves deeply, (English) dear friend
Maro Percival Yorick Wright ::: (Japanese) myself, (French) pierce the valley, (Scandinavian) a form of George, (English) maker
Reginald Quigley Herodes Blackburn ::: (English) king's advisor, (Irish) maternal side, (Greek) the fire dragon, (Scottish) black brook
Zoyamor Waterfall Renatus Wright ::: (Greek/Latin/me) lover of all living beings, (American) waterfall, (Italian) reborn, (English) maker
Zoyamor Bonito Waterfall Darwin ::: (Greek/Latin/me) lover of all living beings, (Latin) worthy, (American) waterfall, (English) dear friend
Zoyamor Percival Phoenix Waterfall ::: (Greek/Latin/me) lover of all living beings, (French) pierce the valley, (English) phoenix, (American) waterfall
Maro Emeterio Yorick Hodgson ::: (Japanese) myself, (Greek) he who deserves affection, (Scandinavian) a form of George, (English) son of Roger
Maro Felix Fileas Hodgson ::: (Japanese) myself, (Latin) fortunate; happy, (Greek) he who loves deeply, (English) son of Roger
Reginald Phoenix Philander Zoyamor ::: (English) king's advisor, (English) phoenix, (Greek) lover of mankind, (Greek/Latin/me) lover of all living beings
Reginald Yorick Waterfall Hodgson ::: (English) king's advisor, (Scandinavian) a form of George, (American) waterfall, (English) son of Roger
Maro Quigley Percival Zoyamor ::: (Japanese) myself, (Irish) maternal side, (French) pierce the valley, (Greek/Latin/me) lover of all living beings
Maro Renatus Bonito Wright ::: (Japanese) myself, (Italian) reborn, (Latin) worthy, (English) maker
Zoyamor Philander Percival Blackburn ::: (Greek/Latin/me) lover of all living beings, (Greek) lover of mankind, (French) pierce the valley, (Scottish) black brook
Maro Bonito NeoWilliams Blackburn ::: (Japanese) myself, (Latin) worthy, (American) new Williams, (Scottish) black brook
Maro Phoenix Fileas Hodgson ::: (Japanese) myself, (English) phoenix, (Greek) he who loves deeply, (English) son of Roger
Zoyamor Percival Waterfall Hodgson ::: (Greek/Latin/me) lover of all living beings, (French) pierce the valley, (American) waterfall, (English) son of Roger
Reginald Androcles NeoWilliams ::: (English) king's advisor, (Greek) man covered with glory, (American) new Williams
Zoyamor Yorick Fileas Darwin ::: (Greek/Latin/me) lover of all living beings, (Scandinavian) a form of George, (Greek) he who loves deeply, (English) dear friend
Reginald Maro Androcles Hodgson ::: (English) king's advisor, (Japanese) myself, (Greek) man covered with glory, (English) son of Roger
Zoyamor Yorick Reginald Hodgson ::: (Greek/Latin/me) lover of all living beings, (Scandinavian) a form of George, (English) king's advisor, (English) son of Roger
Zoyamor Philander Renatus Blackburn ::: (Greek/Latin/me) lover of all living beings, (Greek) lover of mankind, (Italian) reborn, (Scottish) black brook
Reginald Phoenix Androcles Blackburn ::: (English) king's advisor, (English) phoenix, (Greek) man covered with glory, (Scottish) black brook
Reginald Percival Bonito Darwin ::: (English) king's advisor, (French) pierce the valley, (Latin) worthy, (English) dear friend
Maro Phoenix Darwin Hodgson ::: (Japanese) myself, (English) phoenix, (English) dear friend, (English) son of Roger
Zoyamor Yorick Quigley Blackburn ::: (Greek/Latin/me) lover of all living beings, (Scandinavian) a form of George, (Irish) maternal side, (Scottish) black brook
Maro Phoenix Percival NeoWilliams ::: (Japanese) myself, (English) phoenix, (French) pierce the valley, (American) new Williams
Zoyamor Emeterio Felix Blackburn ::: (Greek/Latin/me) lover of all living beings, (Greek) he who deserves affection, (Latin) fortunate; happy, (Scottish) black brook
Zoyamor Fileas Philander Hodgson ::: (Greek/Latin/me) lover of all living beings, (Greek) he who loves deeply, (Greek) lover of mankind, (English) son of Roger
Maro Renatus Reginald NeoWilliams ::: (Japanese) myself, (Italian) reborn, (English) king's advisor, (American) new Williams
Reginald Yorick Wright Hodgson ::: (English) king's advisor, (Scandinavian) a form of George, (English) maker, (English) son of Roger
Zoyamor Bonito Felix Darwin ::: (Greek/Latin/me) lover of all living beings, (Latin) worthy, (Latin) fortunate; happy, (English) dear friend
Reginald Renatus Maro NeoWilliams ::: (English) king's advisor, (Italian) reborn, (Japanese) myself, (American) new Williams
Reginald Felix Herodes Gaylord ::: (English) king's advisor, (Latin) fortunate; happy, (Greek) the fire dragon, (French) merry lord; jailer
Reginald Fileas Herodes Waterfall ::: (English) king's advisor, (Greek) he who loves deeply, (Greek) the fire dragon, (American) waterfall
Zoyamor Herodes Felix Darwin ::: (Greek/Latin/me) lover of all living beings, (Greek) the fire dragon, (Latin) fortunate; happy, (English) dear friend
Zoyamor Quigley Yorick Wright ::: (Greek/Latin/me) lover of all living beings, (Irish) maternal side, (Scandinavian) a form of George, (English) maker
Reginald Emeterio Herodes Waterfall ::: (English) king's advisor, (Greek) he who deserves affection, (Greek) the fire dragon, (American) waterfall
Maro Percival Phoenix Wright ::: (Japanese) myself, (French) pierce the valley, (English) phoenix, (English) maker
Zoyamor Androcles Quigley Waterfall ::: (Greek/Latin/me) lover of all living beings, (Greek) man covered with glory, (Irish) maternal side, (American) waterfall
Zoyamor Philander Fileas Waterfall ::: (Greek/Latin/me) lover of all living beings, (Greek) lover of mankind, (Greek) he who loves deeply, (American) waterfall
Maro Percival Quigley Hodgson ::: (Japanese) myself, (French) pierce the valley, (Irish) maternal side, (English) son of Roger
Reginald Androcles Darwin Wright ::: (English) king's advisor, (Greek) man covered with glory, (English) dear friend, (English) maker
Reginald Bonito Zoyamor Gaylord ::: (English) king's advisor, (Latin) worthy, (Greek/Latin/me) lover of all living beings, (French) merry lord; jailer
Maro Waterfall Darwin Wright ::: (Japanese) myself, (American) waterfall, (English) dear friend, (English) maker
Maro Felix Fileas Wright ::: (Japanese) myself, (Latin) fortunate; happy, (Greek) he who loves deeply, (English) maker
Zoyamor Bonito Blackburn Wright ::: (Greek/Latin/me) lover of all living beings, (Latin) worthy, (Scottish) black brook, (English) maker
Maro Reginald Blackburn NeoWilliams ::: (Japanese) myself, (English) king's advisor, (Scottish) black brook, (American) new Williams
Maro Emeterio Herodes Gaylord ::: (Japanese) myself, (Greek) he who deserves affection, (Greek) the fire dragon, (French) merry lord; jailer
Reginald Herodes Androcles Blackburn ::: (English) king's advisor, (Greek) the fire dragon, (Greek) man covered with glory, (Scottish) black brook
Reginald Androcles Yorick Waterfall ::: (English) king's advisor, (Greek) man covered with glory, (Scandinavian) a form of George, (American) waterfall
Maro Emeterio Androcles Darwin ::: (Japanese) myself, (Greek) he who deserves affection, (Greek) man covered with glory, (English) dear friend
Maro Renatus Quigley Gaylord ::: (Japanese) myself, (Italian) reborn, (Irish) maternal side, (French) merry lord; jailer
Reginald Renatus Zoyamor Darwin ::: (English) king's advisor, (Italian) reborn, (Greek/Latin/me) lover of all living beings, (English) dear friend
Reginald Fileas Maro Hodgson ::: (English) king's advisor, (Greek) he who loves deeply, (Japanese) myself, (English) son of Roger
Zoyamor Philander Quigley Gaylord ::: (Greek/Latin/me) lover of all living beings, (Greek) lover of mankind, (Irish) maternal side, (French) merry lord; jailer
Zoyamor Fileas Waterfall Blackburn ::: (Greek/Latin/me) lover of all living beings, (Greek) he who loves deeply, (American) waterfall, (Scottish) black brook
Maro Herodes Androcles NeoWilliams ::: (Japanese) myself, (Greek) the fire dragon, (Greek) man covered with glory, (American) new Williams
Reginald Zoyamor Emeterio Hodgson ::: (English) king's advisor, (Greek/Latin/me) lover of all living beings, (Greek) he who deserves affection, (English) son of Roger
Reginald Phoenix Waterfall Hodgson ::: (English) king's advisor, (English) phoenix, (American) waterfall, (English) son of Roger
Maro Renatus Fileas Zoyamor ::: (Japanese) myself, (Italian) reborn, (Greek) he who loves deeply, (Greek/Latin/me) lover of all living beings
Zoyamor Emeterio Percival Wright ::: (Greek/Latin/me) lover of all living beings, (Greek) he who deserves affection, (French) pierce the valley, (English) maker
Reginald Herodes Quigley Darwin ::: (English) king's advisor, (Greek) the fire dragon, (Irish) maternal side, (English) dear friend
Reginald Androcles Philander Waterfall ::: (English) king's advisor, (Greek) man covered with glory, (Greek) lover of mankind, (American) waterfall
Reginald Yorick NeoWilliams Wright ::: (English) king's advisor, (Scandinavian) a form of George, (American) new Williams, (English) maker
Zoyamor Waterfall Maro Gaylord ::: (Greek/Latin/me) lover of all living beings, (American) waterfall, (Japanese) myself, (French) merry lord; jailer
Reginald Androcles Emeterio Hodgson ::: (English) king's advisor, (Greek) man covered with glory, (Greek) he who deserves affection, (English) son of Roger
Maro Emeterio Bonito Wright ::: (Japanese) myself, (Greek) he who deserves affection, (Latin) worthy, (English) maker
Zoyamor Philander Waterfall Wright ::: (Greek/Latin/me) lover of all living beings, (Greek) lover of mankind, (American) waterfall, (English) maker
Maro Waterfall Quigley Blackburn ::: (Japanese) myself, (American) waterfall, (Irish) maternal side, (Scottish) black brook
Maro Fileas Gaylord Hodgson ::: (Japanese) myself, (Greek) he who loves deeply, (French) merry lord; jailer, (English) son of Roger
Maro Yorick Fileas Hodgson ::: (Japanese) myself, (Scandinavian) a form of George, (Greek) he who loves deeply, (English) son of Roger
Maro Bonito Quigley Zoyamor ::: (Japanese) myself, (Latin) worthy, (Irish) maternal side, (Greek/Latin/me) lover of all living beings
Maro Emeterio Zoyamor ::: (Japanese) myself, (Greek) he who deserves affection, (Greek/Latin/me) lover of all living beings
Zoyamor Percival Bonito Blackburn ::: (Greek/Latin/me) lover of all living beings, (French) pierce the valley, (Latin) worthy, (Scottish) black brook
Maro Felix NeoWilliams Darwin ::: (Japanese) myself, (Latin) fortunate; happy, (American) new Williams, (English) dear friend
Maro Emeterio Androcles NeoWilliams ::: (Japanese) myself, (Greek) he who deserves affection, (Greek) man covered with glory, (American) new Williams
Maro Emeterio Percival Blackburn ::: (Japanese) myself, (Greek) he who deserves affection, (French) pierce the valley, (Scottish) black brook
Zoyamor Renatus Herodes Waterfall ::: (Greek/Latin/me) lover of all living beings, (Italian) reborn, (Greek) the fire dragon, (American) waterfall
Reginald Maro Philander Hodgson ::: (English) king's advisor, (Japanese) myself, (Greek) lover of mankind, (English) son of Roger
Maro Philander Percival Darwin ::: (Japanese) myself, (Greek) lover of mankind, (French) pierce the valley, (English) dear friend
Zoyamor Emeterio Fileas Waterfall ::: (Greek/Latin/me) lover of all living beings, (Greek) he who deserves affection, (Greek) he who loves deeply, (American) waterfall
Zoyamor Maro Percival Hodgson ::: (Greek/Latin/me) lover of all living beings, (Japanese) myself, (French) pierce the valley, (English) son of Roger
Maro Bonito Emeterio Darwin ::: (Japanese) myself, (Latin) worthy, (Greek) he who deserves affection, (English) dear friend
Reginald Emeterio Darwin Hodgson ::: (English) king's advisor, (Greek) he who deserves affection, (English) dear friend, (English) son of Roger
Maro Bonito Phoenix Wright ::: (Japanese) myself, (Latin) worthy, (English) phoenix, (English) maker
Zoyamor Waterfall Phoenix Darwin ::: (Greek/Latin/me) lover of all living beings, (American) waterfall, (English) phoenix, (English) dear friend
Maro Bonito Waterfall Wright ::: (Japanese) myself, (Latin) worthy, (American) waterfall, (English) maker
Maro Zoyamor Wright ::: (Japanese) myself, (Greek/Latin/me) lover of all living beings, (English) maker
Zoyamor Phoenix Percival Hodgson ::: (Greek/Latin/me) lover of all living beings, (English) phoenix, (French) pierce the valley, (English) son of Roger
Maro Zoyamor Emeterio Darwin ::: (Japanese) myself, (Greek/Latin/me) lover of all living beings, (Greek) he who deserves affection, (English) dear friend
Maro Percival Gaylord Hodgson ::: (Japanese) myself, (French) pierce the valley, (French) merry lord; jailer, (English) son of Roger
Zoyamor Philander Quigley Blackburn ::: (Greek/Latin/me) lover of all living beings, (Greek) lover of mankind, (Irish) maternal side, (Scottish) black brook
Maro Quigley Hodgson Darwin ::: (Japanese) myself, (Irish) maternal side, (English) son of Roger, (English) dear friend
Reginald Emeterio Waterfall NeoWilliams ::: (English) king's advisor, (Greek) he who deserves affection, (American) waterfall, (American) new Williams
Maro Androcles Yorick Zoyamor ::: (Japanese) myself, (Greek) man covered with glory, (Scandinavian) a form of George, (Greek/Latin/me) lover of all living beings
Reginald Felix Blackburn Gaylord ::: (English) king's advisor, (Latin) fortunate; happy, (Scottish) black brook, (French) merry lord; jailer
Maro Percival Herodes Gaylord ::: (Japanese) myself, (French) pierce the valley, (Greek) the fire dragon, (French) merry lord; jailer
Zoyamor Quigley Waterfall NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Irish) maternal side, (American) waterfall, (American) new Williams
Maro Renatus Percival Zoyamor ::: (Japanese) myself, (Italian) reborn, (French) pierce the valley, (Greek/Latin/me) lover of all living beings
Maro Renatus Philander Zoyamor ::: (Japanese) myself, (Italian) reborn, (Greek) lover of mankind, (Greek/Latin/me) lover of all living beings
Zoyamor Fileas Yorick Gaylord ::: (Greek/Latin/me) lover of all living beings, (Greek) he who loves deeply, (Scandinavian) a form of George, (French) merry lord; jailer
Maro Androcles Bonito NeoWilliams ::: (Japanese) myself, (Greek) man covered with glory, (Latin) worthy, (American) new Williams
Reginald Felix Bonito NeoWilliams ::: (English) king's advisor, (Latin) fortunate; happy, (Latin) worthy, (American) new Williams
Zoyamor Emeterio Blackburn Hodgson ::: (Greek/Latin/me) lover of all living beings, (Greek) he who deserves affection, (Scottish) black brook, (English) son of Roger
Reginald Fileas Philander Gaylord ::: (English) king's advisor, (Greek) he who loves deeply, (Greek) lover of mankind, (French) merry lord; jailer
Reginald Herodes Percival NeoWilliams ::: (English) king's advisor, (Greek) the fire dragon, (French) pierce the valley, (American) new Williams
Reginald Percival Bonito Wright ::: (English) king's advisor, (French) pierce the valley, (Latin) worthy, (English) maker
Reginald Androcles Maro Hodgson ::: (English) king's advisor, (Greek) man covered with glory, (Japanese) myself, (English) son of Roger
Reginald Zoyamor Percival Gaylord ::: (English) king's advisor, (Greek/Latin/me) lover of all living beings, (French) pierce the valley, (French) merry lord; jailer
Reginald Renatus Zoyamor NeoWilliams ::: (English) king's advisor, (Italian) reborn, (Greek/Latin/me) lover of all living beings, (American) new Williams
Zoyamor Maro Bonito NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Japanese) myself, (Latin) worthy, (American) new Williams
Zoyamor Waterfall Phoenix Wright ::: (Greek/Latin/me) lover of all living beings, (American) waterfall, (English) phoenix, (English) maker
Maro Reginald Zoyamor Wright ::: (Japanese) myself, (English) king's advisor, (Greek/Latin/me) lover of all living beings, (English) maker
Maro Fileas Reginald Blackburn ::: (Japanese) myself, (Greek) he who loves deeply, (English) king's advisor, (Scottish) black brook
